"sid","cid","county_name","county_fips"
20,1,"AURORA","unknown"
20,2,"BEADLE","unknown"
20,3,"BENNETT","unknown"
20,4,"BON HOMME","unknown"
20,5,"BROOKINGS","unknown"
20,6,"BROWN","unknown"
20,7,"BRULE","unknown"
20,8,"BUFFALO","unknown"
20,9,"BUTTE","unknown"
20,10,"CAMPBELL","unknown"
20,11,"CHARLES MIX","unknown"
20,12,"CLARK","unknown"
20,13,"CLAY","unknown"
20,14,"CODINGTON","unknown"
20,15,"CORSON","unknown"
20,16,"CUSTER","unknown"
20,17,"DAVISON","unknown"
20,18,"DAY","unknown"
20,19,"DEUEL","unknown"
20,20,"DEWEY","unknown"
20,21,"DOUGLAS","unknown"
20,22,"EDMUNDS","unknown"
20,23,"FALL RIVER","unknown"
20,24,"FAULK","unknown"
20,25,"GRANT","unknown"
20,26,"GREGORY","unknown"
20,27,"HAAKON","unknown"
20,28,"HAMLIN","unknown"
20,29,"HAND","unknown"
20,30,"HANSON","unknown"
20,31,"HARDING","unknown"
20,32,"HUGHES","unknown"
20,33,"HUTCHINSON","unknown"
20,34,"HYDE","unknown"
20,35,"JACKSON","unknown"
20,36,"JERAULD","unknown"
20,37,"JONES","unknown"
20,38,"KINGSBURY","unknown"
20,39,"LAKE","unknown"
20,40,"LAWRENCE","unknown"
20,41,"LINCOLN","unknown"
20,42,"LYMAN","unknown"
20,43,"MARSHALL","unknown"
20,44,"MCCOOK","unknown"
20,45,"MCPHERSON","unknown"
20,46,"MEADE","unknown"
20,47,"MELLETTE","unknown"
20,48,"MINER","unknown"
20,49,"MINNEHAHA","unknown"
20,50,"MOODY","unknown"
20,51,"OGLALA LAKOTA","unknown"
20,52,"PENNINGTON","unknown"
20,53,"PERKINS","unknown"
20,54,"POTTER","unknown"
20,55,"ROBERTS","unknown"
20,56,"SANBORN","unknown"
20,57,"SPINK","unknown"
20,58,"STANLEY","unknown"
20,59,"SULLY","unknown"
20,60,"TODD","unknown"
20,61,"TRIPP","unknown"
20,62,"TURNER","unknown"
20,63,"UNION","unknown"
20,64,"WALWORTH","unknown"
20,65,"YANKTON","unknown"
20,66,"ZIEBACH","unknown"
