"sid","cid","county_name","county_fips"
12,1,"BEAVERHEAD","30001"
12,2,"BIG HORN","30003"
12,3,"BLAINE","30005"
12,4,"BROADWATER","30007"
12,5,"CARBON","30009"
12,6,"CARTER","30011"
12,7,"CASCADE","30013"
12,8,"CHOUTEAU","30015"
12,9,"CUSTER","30017"
12,10,"DANIELS","30019"
12,11,"DAWSON","30021"
12,12,"DEER LODGE","30023"
12,13,"FALLON","30025"
12,14,"FERGUS","30027"
12,15,"FLATHEAD","30029"
12,16,"GALLATIN","30031"
12,17,"GARFIELD","30033"
12,18,"GLACIER","30035"
12,19,"GOLDEN VALLEY","30037"
12,20,"GRANITE","30039"
12,21,"HILL","30041"
12,22,"JEFFERSON","30043"
12,23,"JUDITH BASIN","30045"
12,24,"LAKE","30047"
12,25,"LEWIS AND CLARK","30049"
12,26,"LIBERTY","30051"
12,27,"LINCOLN","30053"
12,28,"MADISON","30057"
12,29,"MCCONE","30055"
12,30,"MEAGHER","30059"
12,31,"MINERAL","30061"
12,32,"MISSOULA","30063"
12,33,"MUSSELSHELL","30065"
12,34,"PARK","30067"
12,35,"PETROLEUM","30069"
12,36,"PHILLIPS","30071"
12,37,"PONDERA","30073"
12,38,"POWDER RIVER","30075"
12,39,"POWELL","30077"
12,40,"PRAIRIE","30079"
12,41,"RAVALLI","30081"
12,42,"RICHLAND","30083"
12,43,"ROOSEVELT","30085"
12,44,"ROSEBUD","30087"
12,45,"SANDERS","30089"
12,46,"SHERIDAN","30091"
12,47,"SILVER BOW","30093"
12,48,"STILLWATER","30095"
12,49,"SWEET GRASS","30097"
12,50,"TETON","30099"
12,51,"TOOLE","30101"
12,52,"TREASURE","30103"
12,53,"VALLEY","30105"
12,54,"WHEATLAND","30107"
12,55,"WIBAUX","30109"
12,56,"YELLOWSTONE","30111"
