"sid","cid","vid","county_name","vote_type","county_fips"
20,1,1,"AURORA","total","unknown"
20,2,1,"BEADLE","total","unknown"
20,3,1,"BENNETT","total","unknown"
20,4,1,"BON HOMME","total","unknown"
20,5,1,"BROOKINGS","total","unknown"
20,6,1,"BROWN","total","unknown"
20,7,1,"BRULE","total","unknown"
20,8,1,"BUFFALO","total","unknown"
20,9,1,"BUTTE","total","unknown"
20,10,1,"CAMPBELL","total","unknown"
20,11,1,"CHARLES MIX","total","unknown"
20,12,1,"CLARK","total","unknown"
20,13,1,"CLAY","total","unknown"
20,14,1,"CODINGTON","total","unknown"
20,15,1,"CORSON","total","unknown"
20,16,1,"CUSTER","total","unknown"
20,17,1,"DAVISON","total","unknown"
20,18,1,"DAY","total","unknown"
20,19,1,"DEUEL","total","unknown"
20,20,1,"DEWEY","total","unknown"
20,21,1,"DOUGLAS","total","unknown"
20,22,1,"EDMUNDS","total","unknown"
20,23,1,"FALL RIVER","total","unknown"
20,24,1,"FAULK","total","unknown"
20,25,1,"GRANT","total","unknown"
20,26,1,"GREGORY","total","unknown"
20,27,1,"HAAKON","total","unknown"
20,28,1,"HAMLIN","total","unknown"
20,29,1,"HAND","total","unknown"
20,30,1,"HANSON","total","unknown"
20,31,1,"HARDING","total","unknown"
20,32,1,"HUGHES","total","unknown"
20,33,1,"HUTCHINSON","total","unknown"
20,34,1,"HYDE","total","unknown"
20,35,1,"JACKSON","total","unknown"
20,36,1,"JERAULD","total","unknown"
20,37,1,"JONES","total","unknown"
20,38,1,"KINGSBURY","total","unknown"
20,39,1,"LAKE","total","unknown"
20,40,1,"LAWRENCE","total","unknown"
20,41,1,"LINCOLN","total","unknown"
20,42,1,"LYMAN","total","unknown"
20,43,1,"MARSHALL","total","unknown"
20,44,1,"MCCOOK","total","unknown"
20,45,1,"MCPHERSON","total","unknown"
20,46,1,"MEADE","total","unknown"
20,47,1,"MELLETTE","total","unknown"
20,48,1,"MINER","total","unknown"
20,49,1,"MINNEHAHA","total","unknown"
20,50,1,"MOODY","total","unknown"
20,51,1,"OGLALA LAKOTA","total","unknown"
20,52,1,"PENNINGTON","total","unknown"
20,53,1,"PERKINS","total","unknown"
20,54,1,"POTTER","total","unknown"
20,55,1,"ROBERTS","total","unknown"
20,56,1,"SANBORN","total","unknown"
20,57,1,"SPINK","total","unknown"
20,58,1,"STANLEY","total","unknown"
20,59,1,"SULLY","total","unknown"
20,60,1,"TODD","total","unknown"
20,61,1,"TRIPP","total","unknown"
20,62,1,"TURNER","total","unknown"
20,63,1,"UNION","total","unknown"
20,64,1,"WALWORTH","total","unknown"
20,65,1,"YANKTON","total","unknown"
20,66,1,"ZIEBACH","total","unknown"
