"sid","cid","county_name","county_fips"
13,1,"ADAMS","31001"
13,2,"ANTELOPE","31003"
13,3,"ARTHUR","31005"
13,4,"BANNER","31007"
13,5,"BLAINE","31009"
13,6,"BOONE","31011"
13,7,"BOX BUTTE","31013"
13,8,"BOYD","31015"
13,9,"BROWN","31017"
13,10,"BUFFALO","31019"
13,11,"BURT","31021"
13,12,"BUTLER","31023"
13,13,"CASS","31025"
13,14,"CEDAR","31027"
13,15,"CHASE","31029"
13,16,"CHERRY","31031"
13,17,"CHEYENNE","31033"
13,18,"CLAY","31035"
13,19,"COLFAX","31037"
13,20,"CUMING","31039"
13,21,"CUSTER","00000"
13,22,"DAKOTA","31043"
13,23,"DAWES","31045"
13,24,"DAWSON","31047"
13,25,"DEUEL","31049"
13,26,"DIXON","31051"
13,27,"DODGE","31053"
13,28,"DOUGLAS","31055"
13,29,"DUNDY","31057"
13,30,"FILLMORE","31059"
13,31,"FRANKLIN","31061"
13,32,"FRONTIER","31063"
13,33,"FURNAS","31065"
13,34,"GAGE","31067"
13,35,"GARDEN","31069"
13,36,"GARFIELD","31071"
13,37,"GOSPER","31073"
13,38,"GRANT","31075"
13,39,"GREELEY","31077"
13,40,"HALL","31079"
13,41,"HAMILTON","31081"
13,42,"HARLAN","31083"
13,43,"HAYES","31085"
13,44,"HITCHCOCK","31087"
13,45,"HOLT","31089"
13,46,"HOOKER","31091"
13,47,"HOWARD","31093"
13,48,"JEFFERSON","31095"
13,49,"JOHNSON","31097"
13,50,"KEARNEY","31099"
13,51,"KEITH","31101"
13,52,"KEYA PAHA","31103"
13,53,"KIMBALL","31105"
13,54,"KNOX","31107"
13,55,"LANCASTER","31109"
13,56,"LINCOLN","31111"
13,57,"LOGAN","31113"
13,58,"LOUP","31115"
13,59,"MADISON","31119"
13,60,"MCPHERSON","31117"
13,61,"MERRICK","31121"
13,62,"MORRILL","31123"
13,63,"NANCE","31125"
13,64,"NEMAHA","31127"
13,65,"NUCKOLLS","31129"
13,66,"OTOE","31131"
13,67,"PAWNEE","31133"
13,68,"PERKINS","31135"
13,69,"PHELPS","31137"
13,70,"PIERCE","31139"
13,71,"PLATTE","31141"
13,72,"POLK","31143"
13,73,"RED WILLOW","31145"
13,74,"RICHARDSON","31147"
13,75,"ROCK","31149"
13,76,"SALINE","31151"
13,77,"SARPY","31153"
13,78,"SAUNDERS","31155"
13,79,"SCOTTS BLUFF","31157"
13,80,"SEWARD","31159"
13,81,"SHERIDAN","31161"
13,82,"SHERMAN","31163"
13,83,"SIOUX","31165"
13,84,"STANTON","31167"
13,85,"THAYER","31169"
13,86,"THOMAS","31171"
13,87,"THURSTON","31173"
13,88,"VALLEY","31175"
13,89,"WASHINGTON","31177"
13,90,"WAYNE","31179"
13,91,"WEBSTER","31181"
13,92,"WHEELER","31183"
13,93,"YORK","31185"
